# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101719112	102158515	-	XP_066185329.1		XM_066329232.1	receptor-type tyrosine-protein phosphatase mu isoform X4	PTPRM	136367509		4353	1450	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101719112	102158515	-	XP_066185320.1		XM_066329223.1	receptor-type tyrosine-protein phosphatase mu isoform X3	PTPRM	136367509		4380	1459	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101719112	102158515	-	XP_066185337.1		XM_066329240.1	receptor-type tyrosine-protein phosphatase mu isoform X5	PTPRM	136367509		4308	1435	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101719112	102158515	-	XP_066185311.1		XM_066329214.1	receptor-type tyrosine-protein phosphatase mu isoform X2	PTPRM	136367509		4383	1460	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101719112	102158515	-	XP_066185302.1		XM_066329205.1	receptor-type tyrosine-protein phosphatase mu isoform X1	PTPRM	136367509		4410	1469	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	101719112	102158515	-	XP_066185354.1		XM_066329257.1	receptor-type tyrosine-protein phosphatase mu isoform X7	PTPRM	136367509		4485	1494	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102174488	102261389	-				leucine rich repeat containing 30	LRRC30	136367542		86902		
misc_RNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102174488	102261389	-	XR_010744701.1			leucine rich repeat containing 30, transcript variant X2	LRRC30	136367542		1591	1591	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102259149	102261389	-	XM_066329270.1		XP_066185367.1	leucine rich repeat containing 30, transcript variant X1	LRRC30	136367542		2241	2241	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102260275	102261303	-	XP_066185367.1		XM_066329270.1	leucine-rich repeat-containing protein 30	LRRC30	136367542		1029	342	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102285423	102384861	+				laminin subunit alpha 1	LAMA1	136367554		99439		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102285423	102384861	+	XM_066329285.1		XP_066185382.1	laminin subunit alpha 1	LAMA1	136367554		9677	9677	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102285431	102384480	+	XP_066185382.1		XM_066329285.1	laminin subunit alpha-1	LAMA1	136367554		9288	3095	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102389846	102463042	-				Rho GTPase activating protein 28	ARHGAP28	136367563		73197		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102389846	102463042	-	XM_066329297.1		XP_066185394.1	Rho GTPase activating protein 28	ARHGAP28	136367563		2167	2167	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102389939	102462993	-	XP_066185394.1		XM_066329297.1	rho GTPase-activating protein 28	ARHGAP28	136367563		2025	674	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102762491	102765236	+				transmembrane protein 200C	TMEM200C	136367569		2746		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102762491	102765236	+	XM_066329311.1		XP_066185408.1	transmembrane protein 200C	TMEM200C	136367569		2746	2748	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102762645	102764283	+	XP_066185408.1		XM_066329311.1	LOW QUALITY PROTEIN: transmembrane protein 200C	TMEM200C	136367569		1639	546	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102788072	102812589	-				uncharacterized LOC136358238	LOC136358238	136358238		24518		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102788072	102812589	-	XM_066314238.1		XP_066170335.1	uncharacterized protein	LOC136358238	136358238		1625	1625	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102788072	102812545	-	XP_066170335.1		XM_066314238.1	uncharacterized protein	LOC136358238	136358238		1581	526	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102900300	102997164	+				erythrocyte membrane protein band 4.1 like 3	EPB41L3	136367576		96865		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102900300	102997164	+	XM_066329323.1		XP_066185420.1	erythrocyte membrane protein band 4.1 like 3, transcript variant X1	EPB41L3	136367576		5888	5888	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102900306	102997164	+	XM_066329332.1		XP_066185429.1	erythrocyte membrane protein band 4.1 like 3, transcript variant X2	EPB41L3	136367576		4976	4976	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102900306	102997164	+	XM_066329343.1		XP_066185440.1	erythrocyte membrane protein band 4.1 like 3, transcript variant X3	EPB41L3	136367576		4910	4910	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102900306	102997164	+	XM_066329351.1		XP_066185448.1	erythrocyte membrane protein band 4.1 like 3, transcript variant X4	EPB41L3	136367576		4856	4856	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102931284	102993929	+	XP_066185420.1		XM_066329323.1	band 4.1-like protein 3 isoform X1	EPB41L3	136367576		3774	1257	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102931284	102993929	+	XP_066185429.1		XM_066329332.1	band 4.1-like protein 3 isoform X2	EPB41L3	136367576		2868	955	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102931284	102993929	+	XP_066185440.1		XM_066329343.1	band 4.1-like protein 3 isoform X3	EPB41L3	136367576		2802	933	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	102931284	102993929	+	XP_066185448.1		XM_066329351.1	band 4.1-like protein 3 isoform X4	EPB41L3	136367576		2748	915	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103025573	103027855	+				zinc finger and BTB domain containing 14	ZBTB14	136367595		2283		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103025573	103027855	+	XM_066329363.1		XP_066185460.1	zinc finger and BTB domain containing 14	ZBTB14	136367595		1865	1865	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103026088	103027852	+	XP_066185460.1		XM_066329363.1	zinc finger and BTB domain-containing protein 14	ZBTB14	136367595		1347	448	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103054542	103058043	+				A-kinase anchor inhibitor 1	AKAIN1	136358346		3502		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103054542	103058043	+	XM_066314306.1		XP_066170403.1	A-kinase anchor inhibitor 1	AKAIN1	136358346		3105	3105	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103054542	103055136	+	XP_066170403.1		XM_066314306.1	A-kinase anchor protein inhibitor 1	AKAIN1	136358346		198	65	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103194290	103593403	+				DLG associated protein 1	DLGAP1	136367665		399114		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103194290	103593403	+	XM_066329466.1		XP_066185563.1	DLG associated protein 1, transcript variant X1	DLGAP1	136367665		4792	4792	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103194290	103593403	+	XM_066329484.1		XP_066185581.1	DLG associated protein 1, transcript variant X4	DLGAP1	136367665		4697	4697	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103292794	103593403	+	XM_066329477.1		XP_066185574.1	DLG associated protein 1, transcript variant X3	DLGAP1	136367665		4459	4459	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103299290	103593403	+	XM_066329474.1		XP_066185571.1	DLG associated protein 1, transcript variant X2	DLGAP1	136367665		4523	4523	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103459090	103592246	+	XP_066185563.1		XM_066329466.1	disks large-associated protein 1	DLGAP1	136367665		2928	975	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103459090	103592246	+	XP_066185571.1		XM_066329474.1	disks large-associated protein 1	DLGAP1	136367665		2928	975	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103459090	103592246	+	XP_066185574.1		XM_066329477.1	disks large-associated protein 1	DLGAP1	136367665		2928	975	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103459090	103592246	+	XP_066185581.1		XM_066329484.1	disks large-associated protein 1	DLGAP1	136367665		2928	975	
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103596866	103601572	-				uncharacterized LOC136367605	LOC136367605	136367605		4707		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103596866	103601572	-	XR_010744704.1			uncharacterized lncRNA	LOC136367605	136367605		858	858	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103610908	103622502	-				TGFB induced factor homeobox 1	TGIF1	136367609		11595		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103610908	103622502	-	XM_066329390.1		XP_066185487.1	TGFB induced factor homeobox 1, transcript variant X2	TGIF1	136367609		2585	2585	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103610908	103622104	-	XM_066329385.1		XP_066185482.1	TGFB induced factor homeobox 1, transcript variant X1	TGIF1	136367609		3233	3233	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103612546	103621838	-	XP_066185482.1		XM_066329385.1	homeobox protein TGIF1 isoform X1	TGIF1	136367609		1329	442	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103612546	103614631	-	XP_066185487.1		XM_066329390.1	homeobox protein TGIF1 isoform X2	TGIF1	136367609		750	249	
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103650006	103658722	-				uncharacterized LOC136367632	LOC136367632	136367632		8717		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103650006	103658722	-	XR_010744712.1			uncharacterized lncRNA	LOC136367632	136367632		668	668	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103659620	103665090	-				myosin regulatory light chain 2, smooth muscle minor isoform-like	LOC136367624	136367624		5471		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103659620	103665090	-	XM_066329402.1		XP_066185499.1	myosin regulatory light chain 2, smooth muscle minor isoform-like	LOC136367624	136367624		1541	1541	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103660607	103665055	-	XP_066185499.1		XM_066329402.1	myosin regulatory light chain 2, smooth muscle minor isoform-like	LOC136367624	136367624		519	172	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103674306	103682573	-				myosin regulatory light chain 2, smooth muscle minor isoform	LOC136367635	136367635		8268		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103674306	103682573	-	XM_066329423.1		XP_066185520.1	myosin regulatory light chain 2, smooth muscle minor isoform, transcript variant X1	LOC136367635	136367635		2160	2160	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103674306	103682554	-	XM_066329431.1		XP_066185528.1	myosin regulatory light chain 2, smooth muscle minor isoform, transcript variant X2	LOC136367635	136367635		2177	2177	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103675792	103682571	-	XP_066185520.1		XM_066329423.1	myosin regulatory light chain 2, smooth muscle minor isoform isoform X1	LOC136367635	136367635		672	223	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103675792	103677521	-	XP_066185528.1		XM_066329431.1	myosin regulatory light chain 2, smooth muscle minor isoform isoform X2	LOC136367635	136367635		519	172	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103701248	103778944	+				myomesin 1	MYOM1	136367646		77697		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103701248	103778944	+	XM_066329443.1		XP_066185540.1	myomesin 1	MYOM1	136367646		9886	9886	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103704941	103774618	+	XP_066185540.1		XM_066329443.1	myomesin-1	MYOM1	136367646		5364	1787	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103781902	103826077	+				lipin 2	LPIN2	136367690		44176		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103781902	103826077	+	XM_066329529.1		XP_066185626.1	lipin 2, transcript variant X6	LPIN2	136367690		6794	6794	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790610	103826077	+	XM_066329495.1		XP_066185592.1	lipin 2, transcript variant X1	LPIN2	136367690		6912	6912	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790610	103826077	+	XM_066329516.1		XP_066185613.1	lipin 2, transcript variant X4	LPIN2	136367690		6693	6693	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790610	103826077	+	XM_066329508.1		XP_066185605.1	lipin 2, transcript variant X3	LPIN2	136367690		6825	6825	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790610	103826077	+	XM_066329501.1		XP_066185598.1	lipin 2, transcript variant X2	LPIN2	136367690		6903	6903	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790610	103822046	+	XM_066329524.1		XP_066185621.1	lipin 2, transcript variant X5	LPIN2	136367690		2766	2766	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790785	103822109	+	XP_066185592.1		XM_066329495.1	phosphatidate phosphatase LPIN2 isoform X1	LPIN2	136367690		2769	922	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790785	103822109	+	XP_066185613.1		XM_066329516.1	phosphatidate phosphatase LPIN2 isoform X4	LPIN2	136367690		2550	849	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790785	103822109	+	XP_066185605.1		XM_066329508.1	phosphatidate phosphatase LPIN2 isoform X3	LPIN2	136367690		2682	893	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790785	103822109	+	XP_066185598.1		XM_066329501.1	phosphatidate phosphatase LPIN2 isoform X2	LPIN2	136367690		2760	919	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103790785	103821604	+	XP_066185621.1		XM_066329524.1	phosphatidate phosphatase LPIN2 isoform X5	LPIN2	136367690		2460	819	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103795962	103822109	+	XP_066185626.1		XM_066329529.1	phosphatidate phosphatase LPIN2 isoform X6	LPIN2	136367690		2673	890	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103827674	103869955	-				elastin microfibril interfacer 2	EMILIN2	136367655		42282		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103827674	103869955	-	XM_066329455.1		XP_066185552.1	elastin microfibril interfacer 2	EMILIN2	136367655		8967	8967	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103833431	103869955	-	XP_066185552.1		XM_066329455.1	EMILIN-2	EMILIN2	136367655		3210	1069	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103887981	103955103	-				structural maintenance of chromosomes flexible hinge domain containing 1	SMCHD1	136367733		67123		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103887981	103955103	-	XM_066329533.1		XP_066185630.1	structural maintenance of chromosomes flexible hinge domain containing 1	SMCHD1	136367733		6447	6447	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103888294	103955065	-	XP_066185630.1		XM_066329533.1	structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	136367733		6096	2031	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103967126	103981375	-				NDC80 kinetochore complex component	NDC80	136367744		14250		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103967126	103981375	-	XM_066329544.1		XP_066185641.1	NDC80 kinetochore complex component	NDC80	136367744		2904	2904	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103967954	103981222	-	XP_066185641.1		XM_066329544.1	kinetochore protein NDC80 homolog	NDC80	136367744		1923	640	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103983553	104002916	+				methyltransferase 4, N6-adenosine	METTL4	136367755		19364		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103983553	104002916	+	XM_066329553.1		XP_066185650.1	methyltransferase 4, N6-adenosine, transcript variant X1	METTL4	136367755		3217	3217	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103983553	104002916	+	XM_066329566.1		XP_066185663.1	methyltransferase 4, N6-adenosine, transcript variant X3	METTL4	136367755		3214	3214	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103983553	103999121	+	XM_066329571.1		XP_066185668.1	methyltransferase 4, N6-adenosine, transcript variant X4	METTL4	136367755		2121	2121	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103984228	104002916	+	XM_066329559.1		XP_066185656.1	methyltransferase 4, N6-adenosine, transcript variant X2	METTL4	136367755		3208	3208	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103984374	104001303	+	XP_066185650.1		XM_066329553.1	N(6)-adenine-specific methyltransferase METTL4 isoform X1	METTL4	136367755		1449	482	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103984374	104001303	+	XP_066185656.1		XM_066329559.1	N(6)-adenine-specific methyltransferase METTL4 isoform X1	METTL4	136367755		1449	482	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103984374	104001303	+	XP_066185663.1		XM_066329566.1	N(6)-adenine-specific methyltransferase METTL4 isoform X2	METTL4	136367755		1446	481	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	103984374	103998469	+	XP_066185668.1		XM_066329571.1	N(6)-adenine-specific methyltransferase METTL4 isoform X3	METTL4	136367755		1314	437	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104583879	104589365	-				adenylate cyclase activating polypeptide 1	ADCYAP1	136367784		5487		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104583879	104589365	-	XM_066329589.1		XP_066185686.1	adenylate cyclase activating polypeptide 1, transcript variant X2	ADCYAP1	136367784		853	853	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104583879	104588330	-	XM_066329581.1		XP_066185678.1	adenylate cyclase activating polypeptide 1, transcript variant X1	ADCYAP1	136367784		808	808	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104584094	104587921	-	XP_066185678.1		XM_066329581.1	pituitary adenylate cyclase-activating polypeptide	ADCYAP1	136367784		519	172	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104584094	104587921	-	XP_066185686.1		XM_066329589.1	pituitary adenylate cyclase-activating polypeptide	ADCYAP1	136367784		519	172	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104632262	104681729	+				YES proto-oncogene 1, Src family tyrosine kinase	YES1	136367801		49468		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104632262	104681729	+	XM_066329599.1		XP_066185696.1	YES proto-oncogene 1, Src family tyrosine kinase	YES1	136367801		3903	3903	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104665711	104679636	+	XP_066185696.1		XM_066329599.1	tyrosine-protein kinase Yes	YES1	136367801		1626	541	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104703815	104712567	-				thymidylate synthetase	TYMS	136367812		8753		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104703815	104712567	-	XM_066329607.1		XP_066185704.1	thymidylate synthetase	TYMS	136367812		1380	1380	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104704265	104712546	-	XP_066185704.1		XM_066329607.1	thymidylate synthase	TYMS	136367812		909	302	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104716621	104727515	-				clusterin like 1	CLUL1	136369345		10895		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104716621	104727515	-	XM_066332165.1		XP_066188262.1	clusterin like 1	CLUL1	136369345		1388	1388	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104716621	104727513	-	XP_066188262.1		XM_066332165.1	clusterin-like protein 1	CLUL1	136369345		1386	461	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104778743	104874464	+				collectin subfamily member 12	COLEC12	136367822		95722		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104778743	104874464	+	XM_066329621.1		XP_066185718.1	collectin subfamily member 12	COLEC12	136367822		5592	5592	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104778921	104871279	+	XP_066185718.1		XM_066329621.1	collectin-12	COLEC12	136367822		2229	742	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104890648	104909340	+				THO complex subunit 1	THOC1	136367826		18693		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104890648	104909340	+	XM_066329634.1		XP_066185731.1	THO complex subunit 1, transcript variant X1	THOC1	136367826		2213	2213	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104890648	104909340	+	XM_066329642.1		XP_066185739.1	THO complex subunit 1, transcript variant X2	THOC1	136367826		2189	2189	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104890707	104909181	+	XP_066185731.1		XM_066329634.1	THO complex subunit 1 isoform X1	THOC1	136367826		1995	664	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104890707	104909181	+	XP_066185739.1		XM_066329642.1	THO complex subunit 1 isoform X2	THOC1	136367826		1971	656	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104911021	104930058	-				ubiquitin specific peptidase 14	USP14	136367837		19038		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104911021	104930058	-	XM_066329654.1		XP_066185751.1	ubiquitin specific peptidase 14	USP14	136367837		2224	2224	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104911682	104929974	-	XP_066185751.1		XM_066329654.1	ubiquitin carboxyl-terminal hydrolase 14	USP14	136367837		1479	492	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104935132	105018277	-				Rho associated coiled-coil containing protein kinase 1	ROCK1	136367848		83146		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104935132	105018277	-	XM_066329667.1		XP_066185764.1	Rho associated coiled-coil containing protein kinase 1	ROCK1	136367848		5627	5627	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	104936628	105018223	-	XP_066185764.1		XM_066329667.1	rho-associated protein kinase 1	ROCK1	136367848		4077	1358	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+				GREB1 like retinoic acid receptor coactivator	GREB1L	136367899		132335		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+	XM_066329737.1		XP_066185834.1	GREB1 like retinoic acid receptor coactivator, transcript variant X1	GREB1L	136367899		8800	8800	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+	XM_066329764.1		XP_066185861.1	GREB1 like retinoic acid receptor coactivator, transcript variant X4	GREB1L	136367899		8797	8797	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+	XM_066329790.1		XP_066185887.1	GREB1 like retinoic acid receptor coactivator, transcript variant X7	GREB1L	136367899		8677	8677	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+	XM_066329798.1		XP_066185895.1	GREB1 like retinoic acid receptor coactivator, transcript variant X8	GREB1L	136367899		8674	8674	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+	XM_066329771.1		XP_066185868.1	GREB1 like retinoic acid receptor coactivator, transcript variant X5	GREB1L	136367899		8788	8788	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105059610	105191944	+	XM_066329781.1		XP_066185878.1	GREB1 like retinoic acid receptor coactivator, transcript variant X6	GREB1L	136367899		8785	8785	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105116227	105191944	+	XM_066329746.1		XP_066185843.1	GREB1 like retinoic acid receptor coactivator, transcript variant X2	GREB1L	136367899		8629	8629	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105130470	105191944	+	XM_066329755.1		XP_066185852.1	GREB1 like retinoic acid receptor coactivator, transcript variant X3	GREB1L	136367899		9149	9149	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105131119	105189381	+	XP_066185834.1		XM_066329737.1	GREB1-like protein isoform X1	GREB1L	136367899		5937	1978	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105131119	105189381	+	XP_066185843.1		XM_066329746.1	GREB1-like protein isoform X1	GREB1L	136367899		5937	1978	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105131119	105189381	+	XP_066185852.1		XM_066329755.1	GREB1-like protein isoform X1	GREB1L	136367899		5937	1978	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105131119	105189381	+	XP_066185861.1		XM_066329764.1	GREB1-like protein isoform X2	GREB1L	136367899		5934	1977	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	1	NC_089140.1	105131119	105189381	+	XP_066185887.1		XM_066329790.1	GREB1-like protein isoform X5	GREB1L	136367899		5814	1937	
